,Domain,Phylum,Class,Order,Family,Genus,Species,Species_ANI,mOTU,16S,Community (%),Bin_Size (Mbp),Completeness (%),Contamination (%),Strain_Heterogeneity (%),Watermass
30_bin.17,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,,45_1,NA,N,0.496302922,1.799561,84.73,0.72,50,SAW
33_bin.34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,,45_1,NA,N,0.589287798,0.979326,52.59,0,0,SAW
42_bin.38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,,45_1,NA,Y,0.576698288,2.170437,97.31,0,0,SAW
24_bin.14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,,45_2,NA,Y,2.128213852,2.201512,97.58,0,0,STW
56_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,,45_2,NA,N,1.286385113,1.084092,53.45,0,0,STW
24_bin.42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355,94_1,NA,N,1.669278336,1.618928,91.79,0,0,STW
26_bin.18,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,N,1.054484176,1.646756,87.08,5.23,11.11,Front
38_bin.10,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,Y,1.352228919,1.346037,79.31,0,0,Front
39_bin.4,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355,94_1,NA,Y,2.201524951,1.522694,84.23,0,0,SAW
40_bin.24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355,94_1,NA,Y,0.943852725,1.424543,80.17,0.88,60,SAW
41_bin.60,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355,94_1,NA,N,0.394442525,1.155088,67.23,3.44,66.67,SAW
42_bin.17,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,Y,0.86126704,1.304815,66.92,3.49,66.67,SAW
46_bin.51,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,Y,0.387111678,1.276073,78.44,0.88,50,SAW
52_bin.3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,Y,1.604527484,1.43255,63.23,7.82,71.74,STW
53_bin.14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355,94_1,NA,Y,1.960763532,1.21775,61.38,4.51,34.09,SAW
54_bin.29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,Y,0.836160172,1.329203,74.32,2.42,54.55,SAW
67_bin.11,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,N,1.61722957,1.554936,83.46,0.33,0,STW
68_bin.22,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355,94_1,NA,N,0.870853305,1.15455,66,0.79,50,SAW
82_bin.10,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,,94_1,NA,N,1.102975115,1.443621,83.61,2.44,27.27,SAW
74_bin.2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002709185,94_2,NA,N,1.256807153,1.277619,63.21,9.18,29.63,SAW
71_bin.20,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002725015,95_0,NA,N,1.85393243,1.415056,76.31,3.97,43.48,SAW
35_bin.45,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,,87_1,NA,Y,0.563505213,2.244654,98.38,0.1,0,Neritic
36_bin.75,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,,87_1,NA,N,0.676024115,2.150792,93.5,0.54,100,Neritic
37_bin.23,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,,87_1,NA,N,0.663333059,2.163989,92.43,0,0,STW
52_bin.9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,,87_1,NA,N,1.425935254,2.272105,99.46,0,0,STW
70_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,,87_1,NA,N,0.733652287,1.504897,59.36,0.81,0,STW
35_bin.59,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,1.423546557,1.517834,84.94,0.55,25,Neritic
36_bin.22,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,N,1.268888681,1.514083,85.72,0.17,100,Neritic
37_bin.48,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,1.447446996,1.441238,83.8,0.17,100,STW
38_bin.44,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,N,0.385821323,1.05202,64.11,1.72,100,Front
40_bin.28,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,0.67829205,1.55408,88.89,0.95,0,SAW
41_bin.69,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,N,1.379554919,0.974294,64.42,0.17,100,SAW
42_bin.33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,1.959095412,1.548521,87.08,0,0,SAW
52_bin.37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,N,2.993961039,1.66204,89.67,0.33,0,STW
53_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,1.581439767,1.490993,82.85,3.87,56.52,SAW
54_bin.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,3.104740127,1.257609,65.79,0,0,SAW
71_bin.9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,11.22303598,1.390519,84.33,0,0,SAW
74_bin.28,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,Y,2.52364311,1.377176,85.39,0.08,0,SAW
8_bin.7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_1,NA,N,1.029841648,1.296361,80.09,0.66,60,SAW
24_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645,86_2,NA,N,1.17218214,1.013911,56.73,3.13,56.25,STW
35_bin.21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645,86_2,NA,N,0.517109991,1.090346,60.6,3.45,0,Neritic
36_bin.48,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645,86_2,NA,N,0.476294898,0.861875,52.16,2.09,90,Neritic
70_bin.15,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645,86_2,NA,N,1.37870579,1.019182,65.7,2.38,45.45,STW
8_bin.9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,,86_3,NA,N,0.459031155,1.094824,69.12,0,0,SAW
41_bin.2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,,100_1,NA,N,0.457632019,1.780935,82.18,3.26,12.5,SAW
8_bin.24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,,100_2,NA,Y,1.991507715,1.575825,71.96,0.41,66.67,SAW
35_bin.23,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,,99_1,NA,N,0.510926768,1.787387,83.73,1.42,20,Neritic
36_bin.41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,,99_1,NA,Y,0.497594775,1.914016,97.41,8.21,4.35,Neritic
37_bin.71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,,99_1,NA,Y,0.521034515,1.743044,84.38,1.15,33.33,STW
41_bin.52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,,99_2,NA,Y,0.135262842,1.748553,84.93,1.84,0,SAW
42_bin.32,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,,99_2,NA,N,0.352880873,1.255929,56.35,2.08,71.43,SAW
41_bin.56,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,,82_1,NA,N,0.197591681,2.261762,87.77,5.95,60,SAW
42_bin.67,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,,82_1,NA,N,0.364294616,2.466217,90.75,8.39,18.6,SAW
41_bin.99,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,,83_0,NA,Y,0.109842679,1.783486,74.45,6.9,20,SAW
22_bin.32,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA974,UBA974 sp002336655,84_1,NA,N,0.589812241,1.776858,71.55,0,0,SAW
82_bin.27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA974,UBA974 sp002336655,84_1,NA,N,0.68911256,1.391219,67.24,3.1,25,SAW
78_bin.42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA974,UBA974 sp002292405,85_0,NA,Y,0.727645151,1.693618,84.43,3.9,0,STW
54_bin.16,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,,139_1,NA,Y,3.192542082,1.412098,71.4,3.16,19.05,SAW
82_bin.29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,,139_1,NA,Y,3.379133334,1.365034,61.21,8.62,0,SAW
46_bin.30,Bacteria,Binatota,Binatia,UBA12015,UBA12015,UBA12015,UBA12015 sp003447545,205_0,NA,Y,0.362195539,4.057488,93.14,0.84,0,SAW
20_bin.30,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,GCA-002725925,,193_0,NA,N,0.731044546,1.803016,51.4,0,0,Deep
20_bin.44,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,N,0.76754818,1.726756,53.8,5.98,75,Deep
23_bin.40,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,N,1.026375818,2.237306,89.57,0,0,Deep
3_bin.16,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,N,1.935874348,1.747738,69.58,0,0,Deep
34_bin.5,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,N,0.56791028,1.148771,52.31,2.64,75,Deep
43_bin.25,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,N,0.899069646,1.66437,54.31,6.75,100,Deep
47_bin.42,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,N,1.465568603,1.90045,63.71,3.73,50,Deep
51_bin.12,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,N,0.506535133,1.302734,57.82,0.09,100,Deep
61_bin.38,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,,210_1,NA,Y,0.889170167,1.969295,77.04,0.99,100,Deep
61_bin.26,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA826,UBA11996,UBA11996 sp002708495,113_0,NA,N,0.663021863,1.788924,68.46,7.43,44.44,Deep
61_bin.54,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,,192_1,NA,Y,0.655001402,1.872722,82.18,4.95,0,Deep
80_bin.13,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,,192_1,NA,N,0.738092494,0.880638,55.22,1.16,50,Deep
23_bin.55,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,,192_2,NA,N,0.989447011,2.048828,89.77,0,0,Deep
20_bin.24,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,1.931246038,2.502539,88.94,1.1,50,Deep
23_bin.48,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,0.876475205,2.484298,80.94,0,0,Deep
3_bin.14,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,N,2.102935431,1.785581,56.09,0,0,Deep
34_bin.10,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,0.80402876,2.24465,65.02,0,0,Deep
43_bin.24,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,1.498580561,2.47517,84.49,0.99,0,Deep
47_bin.38,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,3.197778565,2.651558,92.32,0.99,0,Deep
51_bin.8,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,0.981759217,2.585063,81.85,0,0,Deep
61_bin.57,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,1.94043029,2.130341,74.78,1.08,50,Deep
64_bin.3,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,1.287851304,2.340651,81.09,1.6,100,Deep
69_bin.7,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,2.656139284,2.52198,85.37,0.99,100,Deep
80_bin.16,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,2.524559025,2.48801,90.54,0,0,Deep
83_bin.23,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,1.653136425,2.542867,83.87,0,0,Deep
9_bin.14,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,,209_1,NA,Y,0.76681115,1.796566,55.18,1.75,0,Deep
47_bin.25,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,,,,15_1,NA,N,1.15634588,1.911324,82.02,1.19,50,Deep
61_bin.11,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,,,,15_1,NA,N,0.461749182,1.603679,71.54,1.1,50,Deep
80_bin.21,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,,,,15_1,NA,N,0.785432369,1.080571,50.23,0.25,0,Deep
61_bin.48,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,,48_1,NA,N,2.750217767,0.589009,57.44,2.91,0,Deep
72_bin.1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,,48_1,NA,N,3.294511468,0.574419,54.24,6.8,22.22,Deep
17_bin.31,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,,49_1,NA,N,1.120485793,0.766391,55.25,0,0,SAW
79_bin.29,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,,49_1,NA,N,0.666301734,0.745684,51.94,2.02,33.33,SAW
1_bin.22,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,12.07177874,1.013738,82.56,0.97,100,STW
10_bin.34,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,Y,8.503805725,0.953937,81.07,0,0,STW
12_bin.33,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,0.415930369,1.069683,91.78,2.43,0,Neritic
35_bin.54,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,0.332795013,0.530088,55.66,0,0,Neritic
36_bin.1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,0.254169977,0.806367,65.46,0,0,Neritic
37_bin.61,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,0.441890075,1.026504,89.32,0.49,100,STW
38_bin.37,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,0.904240945,1.102137,91.26,0,0,Front
44_bin.17,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,5.040415402,1.016443,85.11,0.97,0,STW
59_bin.1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,Y,12.20170318,1.093502,92.01,0,0,STW
62_bin.17,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,6.47607019,1.050895,82.04,2.91,33.33,STW
7_bin.22,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,Y,1.125647467,1.123929,96.12,0,0,STW
73_bin.3,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,2.370374045,0.600595,59.87,1.37,33.33,STW
76_bin.22,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,Y,5.32589441,1.1973,94.17,0,0,STW
78_bin.21,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,Y,8.214296146,1.036753,83.17,4.85,20,STW
81_bin.6,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535,50_1,1,N,3.797404593,1.26274,91.75,9.06,20,STW
5_bin.19,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,,50_2,2,Y,1.32674045,0.786308,58.12,4.37,20,SAW
60_bin.42,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,,50_2,2,Y,1.033179317,0.847201,56.31,6.8,14.29,SAW
62_bin.8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,,50_2,2,N,2.695898683,0.987878,61.3,3.88,20,STW
63_bin.3,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,,50_2,2,N,4.558679799,0.798184,55.48,0.97,0,SAW
77_bin.7,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,,50_2,2,Y,0.637743029,0.606868,54.63,0.49,100,SAW
79_bin.10,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,,50_2,2,N,1.347959127,0.860062,65.19,0.97,0,SAW
72_bin.9,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,,50_3,3,N,2.587675357,0.673838,60.57,7.77,0,Deep
61_bin.56,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,UBA57,UBA57,UBA57 sp002494565,31_0,NA,Y,0.566758086,0.795316,75.73,0.97,0,Deep
16_bin.5,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,Y,1.544611068,1.288256,69.66,2.13,50,SAW
18_bin.27,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,2.737456493,1.789627,89.76,0.82,66.67,SAW
2_bin.4,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,0.753832031,1.453063,71.08,0.27,50,SAW
22_bin.37,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,1.574296792,1.385379,69.29,1.36,0,SAW
27_bin.3,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,Y,0.944532777,1.3064,72.54,1.9,28.57,SAW
42_bin.60,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,0.315084391,1.320592,69.2,1.07,66.67,SAW
46_bin.25,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,33.98415405,1.120606,53.42,4.76,10,SAW
5_bin.13,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,1.159790374,1.2812,67.62,1.22,80,SAW
54_bin.17,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,0.920658757,1.581249,85.28,1.09,50,SAW
66_bin.12,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,Y,1.525745504,1.425599,75.05,2.39,63.64,SAW
77_bin.31,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,1.656409379,1.432016,69.52,3.17,27.78,SAW
79_bin.17,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,0.934686313,1.778486,90.42,1.63,50,SAW
82_bin.11,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,,1_1,NA,N,1.85513359,1.870718,89.99,0.41,100,SAW
21_bin.19,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp002500205,1_2,NA,N,5.358269443,1.263422,63.41,0.41,0,STW
56_bin.30,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp000012505,2_1,NA,Y,2.311044178,1.380511,73.49,1.45,100,STW
70_bin.27,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp000012505,2_1,NA,Y,4.448636493,0.957927,51.99,0.82,100,STW
11_bin.11,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,Y,4.155702012,1.561065,89.54,0.27,100,SAW
15_bin.11,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,3.056263995,1.547908,85.01,0.54,100,Front
16_bin.18,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,4.511011238,1.604288,90.9,0.54,100,SAW
18_bin.25,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,7.856911178,1.67159,92.3,0.27,100,SAW
19_bin.12,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,4.573568489,1.635631,91.85,0,0,SAW
2_bin.23,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,2.819421407,1.620494,88.86,0.54,100,SAW
39_bin.22,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,15.58283637,1.264487,74.05,0,0,SAW
40_bin.40,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,4.990769896,1.408691,83.61,0,0,SAW
41_bin.89,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,0.465462233,1.489447,85.05,0,0,SAW
42_bin.62,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,0.757599431,1.607864,90.9,0.54,100,SAW
5_bin.20,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,4.476065775,1.660372,93.03,0.54,50,SAW
50_bin.27,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,3.633423089,1.646011,92.62,0.27,100,SAW
54_bin.32,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,8.874784339,1.080151,63.72,0.03,100,SAW
57_bin.11,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,2.511832438,1.098488,62.65,0,0,Front
58_bin.3,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp003208835,2_2,NA,N,2.712774517,1.672454,94.7,0.27,100,SAW
